timestamp,src_ip,dst_ip,src_port,dst_port,tcp_flags,packet_count,label
2026-01-13T15:02:34.919822+00:00,10.232.71.48,10.232.71.26,22,52452,0x0012,22,SSH_BRUTE_FORCE
2026-01-13T15:02:34.919912+00:00,10.232.71.26,10.232.71.48,52464,22,0x0002,24,SSH_BRUTE_FORCE
2026-01-13T15:02:34.920003+00:00,10.232.71.48,10.232.71.26,22,52464,0x0012,23,SSH_BRUTE_FORCE
2026-01-13T15:02:34.920209+00:00,10.232.71.26,10.232.71.48,52466,22,0x0002,25,SSH_BRUTE_FORCE
2026-01-13T15:02:34.920311+00:00,10.232.71.48,10.232.71.26,22,52466,0x0012,24,SSH_BRUTE_FORCE
2026-01-13T15:02:34.920399+00:00,10.232.71.26,10.232.71.48,52472,22,0x0002,26,SSH_BRUTE_FORCE
2026-01-13T15:02:34.920485+00:00,10.232.71.48,10.232.71.26,22,52472,0x0012,25,SSH_BRUTE_FORCE
2026-01-13T15:02:34.920569+00:00,10.232.71.26,10.232.71.48,52478,22,0x0002,27,SSH_BRUTE_FORCE
2026-01-13T15:02:34.920653+00:00,10.232.71.48,10.232.71.26,22,52478,0x0012,26,SSH_BRUTE_FORCE
2026-01-13T15:02:34.920741+00:00,10.232.71.26,10.232.71.48,52490,22,0x0002,28,SSH_BRUTE_FORCE
2026-01-13T15:02:34.920825+00:00,10.232.71.48,10.232.71.26,22,52490,0x0012,27,SSH_BRUTE_FORCE
2026-01-13T15:02:34.920908+00:00,10.232.71.26,10.232.71.48,52492,22,0x0002,29,SSH_BRUTE_FORCE
2026-01-13T15:02:34.920992+00:00,10.232.71.48,10.232.71.26,22,52492,0x0012,28,SSH_BRUTE_FORCE
2026-01-13T15:02:34.921074+00:00,10.232.71.26,10.232.71.48,52346,22,0x0010,30,SSH_BRUTE_FORCE
2026-01-13T15:02:34.921171+00:00,10.232.71.26,10.232.71.48,52350,22,0x0010,31,SSH_BRUTE_FORCE
2026-01-13T15:02:34.921259+00:00,10.232.71.26,10.232.71.48,52346,22,0x0018,32,SSH_BRUTE_FORCE
2026-01-13T15:02:34.921343+00:00,10.232.71.48,10.232.71.26,22,52346,0x0010,29,SSH_BRUTE_FORCE
2026-01-13T15:02:34.921429+00:00,10.232.71.26,10.232.71.48,52348,22,0x0010,33,SSH_BRUTE_FORCE
2026-01-13T15:02:34.921514+00:00,10.232.71.26,10.232.71.48,52384,22,0x0010,34,SSH_BRUTE_FORCE
2026-01-13T15:02:34.921593+00:00,10.232.71.26,10.232.71.48,52392,22,0x0010,35,SSH_BRUTE_FORCE
2026-01-13T15:02:34.921670+00:00,10.232.71.26,10.232.71.48,52404,22,0x0010,36,SSH_BRUTE_FORCE
2026-01-13T15:02:34.921777+00:00,10.232.71.26,10.232.71.48,52404,22,0x0018,37,SSH_BRUTE_FORCE
2026-01-13T15:02:34.921860+00:00,10.232.71.48,10.232.71.26,22,52404,0x0010,30,SSH_BRUTE_FORCE
2026-01-13T15:02:34.921937+00:00,10.232.71.26,10.232.71.48,52420,22,0x0010,38,SSH_BRUTE_FORCE
2026-01-13T15:02:34.922015+00:00,10.232.71.26,10.232.71.48,52420,22,0x0018,39,SSH_BRUTE_FORCE
2026-01-13T15:02:34.922092+00:00,10.232.71.48,10.232.71.26,22,52420,0x0010,31,SSH_BRUTE_FORCE
2026-01-13T15:02:34.922190+00:00,10.232.71.26,10.232.71.48,52436,22,0x0010,40,SSH_BRUTE_FORCE
