timestamp,src_ip,dst_ip,ip_len,ttl,src_port,dst_port,tcp_seq,packet_count,label
2026-01-13T18:11:34.912130+00:00,10.232.71.26,10.232.71.48,40,64,1857,80,0,56,NORMAL
2026-01-13T18:11:34.912188+00:00,10.232.71.26,10.232.71.48,40,64,1858,80,0,57,NORMAL
2026-01-13T18:11:34.912241+00:00,10.232.71.26,10.232.71.48,40,64,1859,80,0,58,NORMAL
2026-01-13T18:11:34.912306+00:00,10.232.71.26,10.232.71.48,40,64,1860,80,0,59,NORMAL
2026-01-13T18:11:34.912361+00:00,10.232.71.26,10.232.71.48,40,64,1861,80,0,60,NORMAL
2026-01-13T18:11:34.912414+00:00,10.232.71.26,10.232.71.48,40,64,1862,80,0,61,NORMAL
2026-01-13T18:11:34.912477+00:00,10.232.71.26,10.232.71.48,40,64,1863,80,0,62,NORMAL
2026-01-13T18:11:34.912537+00:00,10.232.71.26,10.232.71.48,40,64,1864,80,0,63,NORMAL
2026-01-13T18:11:34.912590+00:00,10.232.71.26,10.232.71.48,40,64,1865,80,0,64,NORMAL
2026-01-13T18:11:34.912643+00:00,10.232.71.26,10.232.71.48,40,64,1866,80,0,65,NORMAL
2026-01-13T18:11:34.912701+00:00,10.232.71.26,10.232.71.48,40,64,1867,80,0,66,NORMAL
2026-01-13T18:11:34.912761+00:00,10.232.71.26,10.232.71.48,40,64,1868,80,0,67,NORMAL
2026-01-13T18:11:34.912820+00:00,10.232.71.26,10.232.71.48,40,64,1869,80,0,68,NORMAL
2026-01-13T18:11:34.915743+00:00,10.232.71.26,10.232.71.48,40,64,1870,80,0,69,NORMAL
2026-01-13T18:11:34.915880+00:00,10.232.71.26,10.232.71.48,40,64,1871,80,0,70,NORMAL
2026-01-13T18:11:34.915965+00:00,10.232.71.26,10.232.71.48,40,64,1872,80,0,71,NORMAL
2026-01-13T18:11:34.916028+00:00,10.232.71.26,10.232.71.48,40,64,1873,80,0,72,NORMAL
2026-01-13T18:11:34.916084+00:00,10.232.71.26,10.232.71.48,40,64,1874,80,0,73,NORMAL
2026-01-13T18:11:34.916147+00:00,10.232.71.26,10.232.71.48,40,64,1875,80,0,74,NORMAL
2026-01-13T18:11:34.916209+00:00,10.232.71.26,10.232.71.48,40,64,1876,80,0,75,NORMAL
2026-01-13T18:11:34.916263+00:00,10.232.71.26,10.232.71.48,40,64,1877,80,0,76,NORMAL
2026-01-13T18:11:34.916316+00:00,10.232.71.26,10.232.71.48,40,64,1878,80,0,77,NORMAL
2026-01-13T18:11:34.916370+00:00,10.232.71.26,10.232.71.48,40,64,1879,80,0,78,NORMAL
2026-01-13T18:11:34.916423+00:00,10.232.71.26,10.232.71.48,40,64,1880,80,0,79,NORMAL
2026-01-13T18:11:34.916475+00:00,10.232.71.26,10.232.71.48,40,64,1881,80,0,80,NORMAL
2026-01-13T18:11:34.916528+00:00,10.232.71.26,10.232.71.48,40,64,1882,80,0,81,NORMAL
2026-01-13T18:11:34.916578+00:00,10.232.71.26,10.232.71.48,40,64,1883,80,0,82,NORMAL
2026-01-13T18:11:34.916625+00:00,10.232.71.26,10.232.71.48,40,64,1884,80,0,83,NORMAL
2026-01-13T18:11:34.916674+00:00,10.232.71.26,10.232.71.48,40,64,1885,80,0,84,NORMAL
2026-01-13T18:11:34.916723+00:00,10.232.71.26,10.232.71.48,40,64,1886,80,0,85,NORMAL
2026-01-13T18:11:34.916772+00:00,10.232.71.26,10.232.71.48,40,64,1887,80,0,86,NORMAL
2026-01-13T18:11:34.916821+00:00,10.232.71.26,10.232.71.48,40,64,1888,80,0,87,NORMAL
2026-01-13T18:11:34.916871+00:00,10.232.71.26,10.232.71.48,40,64,1889,80,0,88,NORMAL
2026-01-13T18:11:34.916922+00:00,10.232.71.26,10.232.71.48,40,64,1890,80,0,89,NORMAL
2026-01-13T18:11:34.916975+00:00,10.232.71.26,10.232.71.48,40,64,1891,80,0,90,NORMAL
2026-01-13T18:11:34.919001+00:00,10.232.71.26,10.232.71.48,40,64,1892,80,0,91,NORMAL
2026-01-13T18:11:34.919137+00:00,10.232.71.26,10.232.71.48,40,64,1893,80,0,92,NORMAL
2026-01-13T18:11:34.919205+00:00,10.232.71.26,10.232.71.48,40,64,1894,80,0,93,NORMAL
2026-01-13T18:11:34.919279+00:00,10.232.71.26,10.232.71.48,40,64,1895,80,0,94,NORMAL
2026-01-13T18:11:34.919336+00:00,10.232.71.26,10.232.71.48,40,64,1896,80,0,95,NORMAL
2026-01-13T18:11:34.919391+00:00,10.232.71.26,10.232.71.48,40,64,1897,80,0,96,NORMAL
2026-01-13T18:11:34.919444+00:00,10.232.71.26,10.232.71.48,40,64,1898,80,0,97,NORMAL
2026-01-13T18:11:34.919500+00:00,10.232.71.26,10.232.71.48,40,64,1899,80,0,98,NORMAL
2026-01-13T18:11:34.919553+00:00,10.232.71.26,10.232.71.48,40,64,1900,80,0,99,NORMAL
2026-01-13T18:11:34.919606+00:00,10.232.71.26,10.232.71.48,40,64,1901,80,0,100,NORMAL
2026-01-13T18:11:34.919673+00:00,10.232.71.26,10.232.71.48,40,64,1902,80,0,101,NORMAL
2026-01-13T18:11:34.919727+00:00,10.232.71.26,10.232.71.48,40,64,1903,80,0,102,NORMAL
2026-01-13T18:11:34.919780+00:00,10.232.71.26,10.232.71.48,40,64,1904,80,0,103,NORMAL
2026-01-13T18:11:34.919829+00:00,10.232.71.26,10.232.71.48,40,64,1905,80,0,104,NORMAL
2026-01-13T18:11:34.919883+00:00,10.232.71.26,10.232.71.48,40,64,1906,80,0,105,NORMAL
2026-01-13T18:11:34.919935+00:00,10.232.71.26,10.232.71.48,40,64,1907,80,0,106,NORMAL
2026-01-13T18:11:34.919987+00:00,10.232.71.26,10.232.71.48,40,64,1908,80,0,107,NORMAL
2026-01-13T18:11:34.920038+00:00,10.232.71.26,10.232.71.48,40,64,1909,80,0,108,NORMAL
2026-01-13T18:11:34.920098+00:00,10.232.71.26,10.232.71.48,40,64,1910,80,0,109,NORMAL
2026-01-13T18:11:34.920191+00:00,10.232.71.26,10.232.71.48,40,64,1911,80,0,110,NORMAL
2026-01-13T18:11:34.920243+00:00,10.232.71.26,10.232.71.48,40,64,1912,80,0,111,NORMAL
2026-01-13T18:11:34.920867+00:00,10.232.71.26,10.232.71.48,40,64,1913,80,0,112,NORMAL
2026-01-13T18:11:34.921126+00:00,10.232.71.26,10.232.71.48,40,64,1914,80,0,113,NORMAL
2026-01-13T18:11:34.921439+00:00,10.232.71.26,10.232.71.48,40,64,1915,80,0,114,NORMAL
2026-01-13T18:11:34.921625+00:00,10.232.71.26,10.232.71.48,40,64,1916,80,0,115,NORMAL
2026-01-13T18:11:34.921861+00:00,10.232.71.26,10.232.71.48,40,64,1917,80,0,116,NORMAL
2026-01-13T18:11:34.922091+00:00,10.232.71.26,10.232.71.48,40,64,1918,80,0,117,NORMAL
2026-01-13T18:11:34.922434+00:00,10.232.71.26,10.232.71.48,40,64,1919,80,0,118,NORMAL
2026-01-13T18:11:34.922676+00:00,10.232.71.26,10.232.71.48,40,64,1920,80,0,119,NORMAL
2026-01-13T18:11:34.922947+00:00,10.232.71.26,10.232.71.48,40,64,1921,80,0,120,NORMAL
