timestamp,src_ip,dst_ip,ip_len,ttl,src_port,dst_port,tcp_seq,unique_port_count,label
2026-01-13T18:33:53.231168+00:00,,,,,443,41276,1,6,NORMAL
2026-01-13T18:33:53.231263+00:00,,,,,44622,443,189,6,NORMAL
2026-01-13T18:33:53.231344+00:00,,,,,443,44622,89,6,NORMAL
2026-01-13T18:33:53.231426+00:00,,,,,43336,443,1,4,NORMAL
2026-01-13T18:33:53.231515+00:00,,,,,43336,443,1331,4,NORMAL
2026-01-13T18:33:53.231600+00:00,,,,,43336,443,2661,4,NORMAL
2026-01-13T18:33:53.231774+00:00,,,,,43336,443,3991,4,NORMAL
2026-01-13T18:33:53.231864+00:00,,,,,43336,443,5321,4,NORMAL
2026-01-13T18:33:53.231949+00:00,,,,,43336,443,6651,4,NORMAL
2026-01-13T18:33:53.232030+00:00,,,,,443,43336,1,5,NORMAL
2026-01-13T18:33:53.232171+00:00,,,,,443,43336,1,5,NORMAL
2026-01-13T18:33:53.232274+00:00,,,,,443,43336,1,5,NORMAL
2026-01-13T18:33:53.232355+00:00,,,,,43336,443,6651,5,NORMAL
2026-01-13T18:33:53.232435+00:00,,,,,443,43336,1,5,NORMAL
2026-01-13T18:33:53.232514+00:00,,,,,43336,443,5321,5,NORMAL
2026-01-13T18:33:53.232652+00:00,,,,,443,43336,1,5,NORMAL
2026-01-13T18:33:53.232850+00:00,,,,,443,43336,1,5,NORMAL
2026-01-13T18:33:53.233048+00:00,,,,,43336,443,7587,5,NORMAL
2026-01-13T18:33:53.233204+00:00,,,,,443,43336,40,5,NORMAL
2026-01-13T18:33:53.233302+00:00,,,,,443,43336,613,5,NORMAL
2026-01-13T18:33:53.233384+00:00,,,,,443,43336,964,5,NORMAL
2026-01-13T18:33:53.233465+00:00,,,,,43336,443,7587,5,NORMAL
2026-01-13T18:33:53.233546+00:00,,,,,43336,443,7587,5,NORMAL
2026-01-13T18:33:53.233626+00:00,,,,,43336,443,7587,5,NORMAL
2026-01-13T18:33:53.233707+00:00,,,,,43336,443,7587,5,NORMAL
2026-01-13T18:34:01.929197+00:00,,,,,443,43336,995,5,NORMAL
2026-01-13T18:34:01.929323+00:00,,,,,27017,45610,1149,6,NORMAL
2026-01-13T18:34:01.929379+00:00,,,,,45610,27017,1,7,NORMAL
2026-01-13T18:34:01.929433+00:00,,,,,27017,36756,1125,7,NORMAL
2026-01-13T18:34:01.929513+00:00,,,,,36756,27017,1,7,NORMAL
2026-01-13T18:34:01.929562+00:00,,,,,27017,39120,1125,6,NORMAL
2026-01-13T18:34:01.929609+00:00,,,,,39120,27017,1,6,NORMAL
2026-01-13T18:34:01.929687+00:00,,,,,36188,443,1,6,NORMAL
2026-01-13T18:34:01.929734+00:00,,,,,43336,443,7622,6,NORMAL
2026-01-13T18:34:01.929804+00:00,,,,,43336,443,8952,6,NORMAL
2026-01-13T18:34:01.929864+00:00,,,,,43336,443,10282,6,NORMAL
2026-01-13T18:34:01.929938+00:00,,,,,43336,443,11612,6,NORMAL
2026-01-13T18:34:01.930010+00:00,,,,,43336,443,12942,6,NORMAL
2026-01-13T18:34:01.930055+00:00,,,,,43336,443,14272,6,NORMAL
2026-01-13T18:34:01.930105+00:00,,,,,443,36188,1,7,NORMAL
2026-01-13T18:34:01.930154+00:00,,,,,443,43336,995,7,NORMAL
2026-01-13T18:34:01.930201+00:00,,,,,443,43336,995,7,NORMAL
2026-01-13T18:34:01.930247+00:00,,,,,443,43336,995,7,NORMAL
2026-01-13T18:34:01.930294+00:00,,,,,43336,443,14272,7,NORMAL
2026-01-13T18:34:01.930341+00:00,,,,,43336,443,14272,7,NORMAL
2026-01-13T18:34:01.930387+00:00,,,,,443,43336,995,7,NORMAL
2026-01-13T18:34:01.930431+00:00,,,,,443,43336,995,7,NORMAL
2026-01-13T18:34:01.930476+00:00,,,,,443,43336,1584,7,NORMAL
2026-01-13T18:34:01.930521+00:00,,,,,43336,443,15179,7,NORMAL
2026-01-13T18:34:01.930568+00:00,,,,,443,43336,1935,7,NORMAL
2026-01-13T18:34:01.930614+00:00,,,,,443,43336,1966,7,NORMAL
2026-01-13T18:34:01.930659+00:00,,,,,43336,443,15179,7,NORMAL
2026-01-13T18:34:01.930707+00:00,,,,,443,44622,89,7,NORMAL
2026-01-13T18:34:01.930764+00:00,,,,,44622,443,237,7,NORMAL
2026-01-13T18:34:01.930807+00:00,,,,,44622,443,272,7,NORMAL
2026-01-13T18:34:01.930849+00:00,,,,,443,44622,133,7,NORMAL
2026-01-13T18:34:01.930892+00:00,,,,,443,33640,86,7,NORMAL
2026-01-13T18:34:01.930934+00:00,,,,,33640,443,92,7,NORMAL
2026-01-13T18:34:01.930976+00:00,,,,,33640,443,92,7,NORMAL
2026-01-13T18:34:01.931018+00:00,,,,,443,33640,110,7,NORMAL
2026-01-13T18:34:01.931060+00:00,,,,,43336,443,15179,7,NORMAL
2026-01-13T18:34:01.931111+00:00,,,,,43336,443,16509,7,NORMAL
2026-01-13T18:34:01.931159+00:00,,,,,43336,443,17839,7,NORMAL
